ID,Stage,Experiment,Models/Backends,Data/Input,Main settings,Status,Result/Observed output,Failure/Issue,Reason/Lesson,Artifacts
E01,Stage 1,Released fine-grained annotation parser,No model call; parses released HSA-DPO detection annotations,fg_pipeline/data/hsa_dpo_detection.jsonl,Parser-only; preserve critiques/severity labels,Completed,"16143 rows: 7643 hallucinated, 8500 non-hallucinated; about 7749 parsed critique items noted earlier","None; this is released supervision, not regenerated GPT/Gemini annotation",Paper-faithful enough for our budget because released annotations already represent D_faif.,output/fghd/stage1/* and later output/fghd/paper_stage1/d_faif.jsonl
E02,Stage 2,Original rewrite generation from critiques,LLaVA/template path depending on run; template only for smoke tests,Stage 1 hallucinated rows/critiques,Rewrite hallucinated responses using critique text,Completed earlier,Stage 2 outputs existed and were used by legacy Stage 3 validation,Prompt was shorter than paper appendix rewrite prompt,"Useful for smoke/current pipeline, but less paper-faithful than detect-then-rewrite with detector outputs.",output/fghd/stage2/*
E03,Paper Stage 1,Paper-faithful D_FAIF build from released annotations,No model call; released annotation parser plus appendix prompt templates for reproducibility,fg_pipeline/data/hsa_dpo_detection.jsonl,Appendix-aligned metadata; preserve raw annotation text/source,Completed,16143 D_FAIF records written; 7643 hallucinated and 8500 non-hallucinated,No failure,This is the clean paper-path source for detector/data experiments.,output/fghd/paper_stage1/d_faif.jsonl; output/fghd/paper_stage1/stats.json
E04,Paper Stage 2,Detector training dataset construction,No model call; dataset conversion,output/fghd/paper_stage1/d_faif.jsonl,Hallucinated target: typed critique/severity report; clean target: NO HALLUCINATION; deterministic ordering/sampling,Completed,"16143 detector examples written: 7643 hallucinated, 8500 non-hallucinated",Dataset had fewer non-hallucinated rows than ideal 1:1.2 ratio target (9172); used all 8500,No validation split was used by user choice; use all data for detector dataset.,output/fghd/paper_stage2/detector_train.json; detector_split_stats.json
E05,Legacy Stage 3,Qwen/LLaVA ensemble validation speedup,Qwen-VL-Chat + LLaVA family ensemble,Stage 2 rewrites over 7643 rows,"Initially 3 votes Qwen->LLaVA->Qwen; later early stop, resume, incremental writes, max tokens adjusted",Partially implemented / superseded,Speed/robustness code added; not kept as final research path,"Missing qwen-side packages caused warnings/import failures: tiktoken, matplotlib, transformers_stream_generator; Qwen checkpoint loading was slow and repeated; generation config needed fixing",Heavy local model voting was too slow and brittle for the one-box workflow; preflight checks and resume were necessary.,scripts/run_stage3_validate.sh; output/fghd/stage3/* legacy outputs
E06,Legacy Stage 3,Gemini + GPT-4o mini strict validation over rewritten Stage 2 output,Gemini 2.5 Flash-Lite + GPT-4o mini,7643 rewritten rows from current Stage 2/Stage 4-era pipeline,Two-vote judgement; pass only under strict rule used at that time,Completed but not enough data,One run wrote 98 preference pairs and 7643 audit rows; an earlier logic issue showed 0 preference pairs when pass logic/path did not match Stage 4 input,"Too strict for training: only about 98 accepted pairs, far below thousands needed","API validation can audit quality, but using it as the only gate can destroy dataset size.",output/fghd/stage3/vote_records.jsonl; output/fghd/stage3/preference_pairs.jsonl; stats.json
E07,Legacy Stage 4,Repair rows rejected by API validation,"LLaVA-1.5-13B initially, later LLaVA-1.5-7B after storage/time tradeoff",Rejected/failed rows from Stage 3 validation,"LLaVA repair/rewrite, resumable; deterministic local generation",Completed in one run,Stage 4 repair wrote 7545 repair pairs and 7643 final preference pairs in the current/legacy path,Long runtime; LLaVA checkpoint loading and generation were slow; model-size/storage constraints pushed move from 13B to 7B,"Repair can restore dataset volume after strict validation, but it is costly and not exactly paper detector->rewrite methodology.",output/fghd/stage4/repair_records.jsonl; output/fghd/stage4/final_preference_pairs.jsonl; stats.json
E08,Legacy Stage 5,Severity-margin HSA-DPO on legacy Stage 4 pairs,"LLaVA-1.5-13B initially, LoRA, DeepSpeed ZeRO-3",output/fghd/stage4/final_preference_pairs.jsonl,2 epochs; LoRA r=128 alpha=256; LR=2e-6; total batch 32; beta=0.1; freeze projector; severity_margin loss,Completed earlier,Training completed at global_step=476; evaluation preflight confirmed trainer_state global_step=476,Initial OOM on 48GB for 13B/large settings; ZeRO-3 no_sync incompatibility needed trainer patch; runtime long,Trainer compatibility patches were required; 13B is expensive for single 48GB GPU.,output/fghd/stage5_llava_margin/checkpoint-476; trainer_state.json
E09,Evaluation,Automatic evaluation runner without external judge APIs,LLaVA-1.5 base vs Stage 5 LoRA; automatic metrics only,"POPE adversarial, Object HalBench, AMBER assets","No OpenAI/Gemini judge; run names stage5_auto_eval_smoke/full; temperature=0, max_new_tokens=512",Set up / partial run,Preflight initially failed because benchmark assets were missing; assets then installed; full run was started and later stopped so user could control run,Missing benchmark files/images at first; transient Hugging Face DNS warning for CLIP config; evaluation outputs already existed unless CLEAN_EVAL=1,Evaluation must separate automatic metrics from judge-based benchmarks for fair comparison.,scripts/run_stage5_eval_auto.sh; scripts/setup_stage5_eval_assets.sh; output/eval/stage5_auto_eval_*
E10,Vast/storage,Move from 1x 48GB instance to 2x/other instances and cleanup,Infrastructure only,Volume Local-35489770 and later no-volume instance attempt,Clean unneeded models/checkpoints; remove models/Qwen-VL-Chat; archive outputs; transfer attempt cancelled,Completed cleanup / cancelled transfer,Qwen-VL-Chat removed; old checkpoint/output cleanup performed; later no-volume transfer attempt cancelled and temp transfer files removed,No-volume instance required copying 20GB+ assets; user cancelled instance and transfer,Use same Vast volume for fast instance switching; otherwise copy only minimal assets.,No final research artifact; infrastructure state only
E11,Paper Stage 3,LLaVA detector training attempt,LLaVA-1.5-13B detector LoRA path,output/fghd/paper_stage2/detector_train.json,2 epochs; LoRA r=128 alpha=256; LR=1e-5; batch target 16; model_max_length initially 2048/other variants,Failed / abandoned,Training failed at first due to import path issue: No module named llava,Repo path/module import mismatch for LLaVA training script in this environment,"LLaVA detector path required deeper environment fixes; we switched to Qwen2.5-VL detector attempt for implementation stability, then later abandoned local detector path.",scripts/run_paper_stage3_detector_train.sh; output/fghd/paper_stage3/detector_lora partial/none
E12,Paper Stage 3,Qwen2.5-VL-7B detector setup/download,Qwen2.5-VL-7B-Instruct,output/fghd/paper_stage2/detector_train.json,LoRA detector training; output temporary /tmp/qwen_detector_lora_tmp; MODEL_MAX_LENGTH eventually 1024,Setup completed; training attempt proceeded,Model downloaded to models/Qwen2.5-VL-7B-Instruct; initial no-space issue solved by removing old assets and using /tmp output,No space left during model download; needed cleanup and external/tmp output location,Large model storage must be planned separately from project volume outputs.,models/Qwen2.5-VL-7B-Instruct; /tmp/qwen_detector_lora_tmp during run
E13,Paper Stage 3,Qwen2.5-VL detector training first errors,Qwen2.5-VL-7B-Instruct + LoRA,paper_stage2 detector_train.json,Initially used Trainer args including evaluation_strategy; later max length 512 then 1024,Failed then fixed,"First error: TrainingArguments got unexpected keyword argument evaluation_strategy. Second error: image features and image tokens do not match (tokens 497, features 999). Rerun with MODEL_MAX_LENGTH=1024 proceeded.",Transformers version mismatch and image-token truncation mismatch at too-short max length,Version-compatible argument handling and enough sequence length are required for Qwen2.5-VL image tokens.,fg_pipeline/paper/run_stage3_qwen_train.py; scripts/run_paper_stage3_qwen_train.sh before removal
E14,Paper Stage 3,Qwen2.5-VL detector inference after training,Qwen2.5-VL-7B detector LoRA,16143 paper_stage2 rows,BACKEND=qwen_detector; MODEL_BASE=models/Qwen2.5-VL-7B-Instruct; MODEL_PATH=paper_stage3/qwen_detector_lora,Failed as detector,Stage 3 detect wrote 16143 detection rows but 0 predicted hallucinated; Stage 4 then wrote 0 preference pairs and 0 rewrite records,"Detector collapsed to non-hallucination or parser/target-format did not recover hallucination outputs; not necessarily because Qwen is too small, more likely prompt/label/parser/calibration mismatch plus no validation split",A detector must be evaluated before using it to filter Stage 4. 0 positives means the downstream preference pipeline fails completely.,output/fghd/paper_stage3/detections.jsonl; detection_stats.json; output/fghd/paper_stage4/preference_pairs.jsonl empty
E15,Paper Stage 4,Direct paper-style rewrite using released annotations as detector substitute,LLaVA-1.5-7B rewriter,Released D_FAIF/paper-stage labels instead of failed learned detector,Use released annotations as H_i so all hallucinated rows can be rewritten; no API gate,Run started/used as fallback concept,Observed progress example: Paper Stage 4 rewrite around 855 rows at 6.46 it/s in one run; exact final result not recorded in chat before plan changed,This is not a learned detector reproduction; it uses released annotations directly,"Fastest way to produce thousands of pairs when detector training fails, but should be reported as annotation-driven preference construction.",scripts/run_paper_stage4_rewrite.sh; output/fghd/paper_stage4/* when run
E16,API Stage 3,Released preference judgement with Gemini only,Gemini 2.5 Flash-Lite,"hsa_dpo/data/hsa_dpo_preference_llava1dot5.jsonl, 8386 rows",API_JUDGE=gemini; decision_rule=either in script context; image-root hsa_dpo/data/images,Active at last check,Process still running; final output files not yet written at last check,No final counts available yet; script appears to write outputs at end,"Gemini judgement is useful as a separate audit/filter pipeline, but should be separated from paper-faithful direct training.",output/fghd/released_pref_stage3/* target path
E17,API Stage 3,Released preference judgement with OpenAI only,GPT-4o mini,"hsa_dpo/data/hsa_dpo_preference_llava1dot5.jsonl, 8386 rows",API_JUDGE=openai; openai_model=gpt-4o-mini; no API key stored in report,Completed,"8386 rows validated: 2914 accepted, 5472 rejected; stats written",Cost/time external dependency; results are model-judge dependent and not paper-faithful detector training,"Good audit/filtering baseline, but should be reported separately from direct HSA-DPO training.",output/fghd/released_pref_stage3_openai/validated_preferences.jsonl; rejected_for_repair.jsonl; judgement_records.jsonl; stats.json
E18,Qwen API idea,Qwen3-VL-Flash API judge idea,Qwen3-VL-Flash API (planned),Released preferences / rewritten outputs,Would have used Qwen API key as an additional judge/filter,Cancelled before use,User decided to remove Qwen API/model usage and stick with current plan,Not executed; would add another external dependency and complicate the two-pipeline comparison,Keep final study simpler: direct training baseline plus optional Gemini/OpenAI judgement pipeline.,Qwen API code/env removed from active path
E19,Stage 5 current,"Direct paper HSA-DPO from released preference data, first batch16 attempt",LLaVA-1.5-7B + LoRA + DeepSpeed ZeRO-3,hsa_dpo/data/hsa_dpo_preference_llava1dot5.jsonl; images hsa_dpo/data/images,EPOCH=2; TOTAL_BATCH_SIZE=16; DPO_LOSS_TYPE=hsa_weighted; USE_REJECTED_SCORE=True,Interrupted by user choice,"Reached about 79/1048 steps earlier, then was cancelled to rerun faster settings",Long runtime for available time; not a code failure,"Batch16 2 epochs is more thorough, but too slow for current deadline.",output/fghd/interrupted_stage5/stage5_paper_hsa_batch16_*.log; exp_direct_paper_hsa_* archive
E20,Stage 5 current,"Direct paper HSA-DPO, batch32 epoch1",LLaVA-1.5-7B + LoRA + DeepSpeed ZeRO-3,hsa_dpo/data/hsa_dpo_preference_llava1dot5.jsonl; images hsa_dpo/data/images,EPOCH=1; TOTAL_BATCH_SIZE=32; BATCH_SIZE=1; gradient_accumulation_steps=32; LoRA r=128 alpha=256; LR=2e-6; beta=0.1; DPO_LOSS_TYPE=hsa_weighted; USE_REJECTED_SCORE=True,Active at last check,Latest observed progress: 33/262 steps (13%); latest logged loss at step 30: 22.025; rewards/accuracy 0.5906; ETA about 4h13m at that snapshot,Warning: token sequence length 1083 > model_max_length 1024 for at least one row; training continued. This may truncate/affect a small number of long samples.,"This is the current main paper-style HSA-DPO run, faster than batch16 2 epochs but fewer optimizer updates.",output/fghd/exp_direct_paper_hsa_b32_e1; output/fghd/stage5_paper_hsa_b32_e1.log
E21,Stage 5 baseline,"Normal DPO baseline, batch32 epoch1",LLaVA-1.5-7B + LoRA + DeepSpeed ZeRO-3,Same released preference data/images as HSA-DPO,EPOCH=1; TOTAL_BATCH_SIZE=32; DPO_LOSS_TYPE=standard; USE_REJECTED_SCORE=False; USE_CHOSEN_SCORE=False,Queued,Queue active and waiting for HSA-DPO batch32 epoch1 to finish,Not started yet due single GPU memory; cannot run concurrently with HSA-DPO,"This provides the fair baseline against HSA-DPO using the same model, data, epoch count, and effective batch size.",scripts/run_direct_stage5_normal_dpo_batch32_epoch1.sh; output/fghd/exp_direct_normal_dpo_b32_e1 when complete
E22,Stage 5 alternative,Our severity-margin HSA-DPO on released preference data,LLaVA-1.5-7B + severity_margin loss,Released HSA-DPO preference data,DPO_LOSS_TYPE=severity_margin; SEVERITY_MARGIN_SCALE=0.5; normalizer=3.0,Planned then not run,Script existed but was not queued after user narrowed plan to paper HSA-DPO plus normal DPO,Excluded to keep comparison simple and fit time constraints,"Useful future ablation, but not part of the current two-experiment setup.",scripts/run_direct_stage5_margin_hsa_batch16.sh earlier; not active
E23,Methodology note,VLM fine-grained feedback and paper prompt alignment,"Referenced paper: GPT-4V/GPT-4 for FAIF annotation, open-source LVLM detector, LLaVA rewrite; current final runs: LLaVA-1.5-7B",fg_pipeline/data/hsa_dpo_detection.jsonl and hsa_dpo/data/hsa_dpo_preference_llava1dot5.jsonl,Use released FAIF supervision; keep appendix-aligned prompts in fg_pipeline/paper/prompts.py; separate API audit/filter results from final DPO comparison,Documented,"Added methodology note explaining VLM usage, prompt alignment, model rationale, and current two-experiment DPO comparison",Avoid claiming regenerated GPT-4/GPT-4V annotations; released annotations are used as supervision,This makes the instructor report clearer and separates paper-faithful supervision from diagnostic API/model experiments.,reports/vlm_fine_grained_feedback_methodology.md
